ECG-mV,EMG-mV,foot GSR-mV,hand GSR-mV,HR-bpm,RESP-mV,Stress
0.117,0.35475,6.39,5.293,59.0,48.77,1.0
-0.139,0.305625,6.386,5.291,56.0,48.7,1.0
-0.142,0.372875,6.385,5.288,56.0,48.58,1.0
-0.143,0.3755,6.381,5.285,56.0,48.39,1.0
-0.152,0.2305,6.379,5.283,56.0,48.27,1.0
-0.155,0.16575,6.376,5.28,56.0,48.2,1.0
-0.156,0.362625,6.375,5.278,56.0,48.15,1.0
-0.155,0.271875,6.37,5.273,56.0,48.19,1.0
-0.148,0.25375,6.369,5.271,56.0,48.19,1.0
-0.096,0.119125,6.366,5.269,56.0,48.12,1.0
-0.153,0.160625,6.364,5.266,56.0,48.14,1.0
-0.141,0.372875,6.362,5.264,56.0,48.19,1.0
0.2,0.27975,6.36,5.26,56.0,48.15,1.0
-0.06,0.196875,6.357,5.259,56.0,48.15,1.0
0.015,0.199375,6.354,5.256,56.0,48.19,1.0
0.153,0.227875,6.353,5.253,56.0,48.21,1.0
0.223,0.199375,6.35,5.251,56.0,48.19,1.0
-0.09300000000000001,0.227875,6.348,5.248,56.0,48.18,1.0
-0.143,0.163125,6.344,5.245,56.0,48.21,1.0
-0.133,0.227875,6.343,5.243,56.0,48.18,1.0
-0.142,0.160625,6.34,5.24,56.0,48.03,1.0
-0.148,0.227875,6.338,5.238,56.0,47.99,1.0
-0.15,0.328875,6.335,5.235,56.0,48.01,1.0
-0.151,0.22525,6.333,5.233,56.0,48.01,1.0
-0.146,0.227875,6.33,5.229,56.0,48.04,1.0
-0.094,0.2745,6.328,5.228,56.0,48.07,1.0
-0.14,0.227875,6.325,5.224,56.0,48.08,1.0
-0.144,0.328875,6.323,5.223,56.0,48.13,1.0
0.217,0.36775,6.319,5.219,56.0,48.28,1.0
-0.054,0.29525,6.318,5.216,56.0,48.53,1.0
0.018,0.1165,6.315,5.214,56.0,48.72,1.0
0.16,0.02325,6.313,5.213,56.0,48.94,1.0
0.253,0.31075,6.31,5.211,56.0,49.17,1.0
-0.065,0.362625,6.308,5.207,56.0,49.38,1.0
-0.128,0.227875,6.304,5.206,57.0,49.59,1.0
-0.119,0.1165,6.303,5.203,57.0,49.77,1.0
-0.121,0.2745,6.3,5.201,57.0,49.91,1.0
-0.12,0.313375,6.299,5.197,57.0,50.08,1.0
-0.116,0.29525,6.295,5.196,57.0,50.23,1.0
-0.079,0.227875,6.294,5.192,57.0,50.4,1.0
-0.08899999999999998,0.25375,6.29,5.189,57.0,50.57,1.0
-0.118,0.220125,6.289,5.187,57.0,50.6,1.0
0.283,0.292625,6.285,5.184,57.0,50.63,1.0
-0.111,0.297875,6.284,5.182,57.0,50.69,1.0
0.001,0.02075,6.282,5.181,57.0,50.67,1.0
0.114,0.163125,6.279,5.178,57.0,50.59,1.0
0.265,0.22525,6.277,5.174,57.0,50.49,1.0
0.018,0.36775,6.274,5.173,57.0,50.39,1.0
-0.13,0.2305,6.272,5.171,65.0,50.24,1.0
-0.124,0.347,6.27,5.168,65.0,50.04,1.0
-0.13,0.406625,6.267,5.166,65.0,49.82,1.0
-0.139,0.385875,6.265,5.163,65.0,49.59,1.0
-0.141,0.313375,6.262,5.161,65.0,49.41,1.0
-0.109,0.0285,6.26,5.158,65.0,49.27,1.0
-0.104,0.25125,6.257,5.156,65.0,49.17,1.0
-0.15,0.3315,6.255,5.153,65.0,49.06,1.0
0.288,0.248625,6.253,5.152,65.0,48.93,1.0
-0.147,0.3315,6.251,5.149,65.0,48.82,1.0
-0.014,0.25125,6.248,5.147,65.0,48.73,1.0
0.099,0.163125,6.246,5.146,65.0,48.68,1.0
0.034,0.271875,6.245,5.142,65.0,48.62,1.0
-0.044,0.271875,6.242,5.141,65.0,48.55,1.0
-0.135,0.271875,6.24,5.138,65.0,48.48,1.0
-0.126,0.36,6.237,5.136,65.0,48.44,1.0
-0.125,0.38325,6.236,5.133,65.0,48.32,1.0
-0.132,0.308125,6.231,5.128,65.0,48.19,1.0
-0.132,0.233125,6.23,5.128,65.0,48.19,1.0
-0.124,0.2305,6.227,5.126,65.0,48.18,1.0
-0.061,0.277125,6.226,5.124,65.0,48.2,1.0
-0.125,0.29,6.222,5.121,65.0,48.19,1.0
-0.058,0.269375,6.22,5.12,65.0,48.17,1.0
0.197,0.277125,6.217,5.116,65.0,48.17,1.0
-0.026,0.29525,6.216,5.115,65.0,48.19,1.0
0.062,0.25375,6.213,5.112,65.0,48.2,1.0
0.215,0.0285,6.211,5.11,65.0,48.21,1.0
0.242,0.303,6.208,5.109,65.0,48.21,1.0
-0.066,0.33925,6.207,5.105,65.0,48.21,1.0
-0.08899999999999998,0.29525,6.203,5.104,64.0,48.19,1.0
-0.07499999999999998,0.942625,6.202,5.101,64.0,48.19,1.0
